2011-04-18 18:28:20 startup archives unpack
2011-04-18 18:28:20 install python-setuptools <none> 0.6.10-4ubuntu1
2011-04-18 18:28:20 status half-installed python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:20 status unpacked python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:20 status unpacked python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:21 startup packages configure
2011-04-18 18:28:21 configure python-setuptools 0.6.10-4ubuntu1 0.6.10-4ubuntu1
2011-04-18 18:28:21 status unpacked python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:21 status half-configured python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:22 status installed python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:22 status triggers-pending python-central 0.6.15ubuntu1
2011-04-18 18:28:22 status triggers-awaited python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:22 trigproc python-central 0.6.15ubuntu1 0.6.15ubuntu1
2011-04-18 18:28:22 status half-configured python-central 0.6.15ubuntu1
2011-04-18 18:28:22 status installed python-setuptools 0.6.10-4ubuntu1
2011-04-18 18:28:22 status installed python-central 0.6.15ubuntu1
2011-04-18 18:53:32 startup archives unpack
2011-04-18 18:53:32 install unzip <none> 6.0-1build1
2011-04-18 18:53:32 status half-installed unzip 6.0-1build1
2011-04-18 18:53:32 status triggers-pending man-db 2.5.7-2
2011-04-18 18:53:32 status half-installed unzip 6.0-1build1
2011-04-18 18:53:32 status unpacked unzip 6.0-1build1
2011-04-18 18:53:32 status unpacked unzip 6.0-1build1
2011-04-18 18:53:32 trigproc man-db 2.5.7-2 2.5.7-2
2011-04-18 18:53:32 status half-configured man-db 2.5.7-2
2011-04-18 18:53:33 status installed man-db 2.5.7-2
2011-04-18 18:53:34 startup packages configure
2011-04-18 18:53:34 configure unzip 6.0-1build1 6.0-1build1
2011-04-18 18:53:34 status unpacked unzip 6.0-1build1
2011-04-18 18:53:34 status half-configured unzip 6.0-1build1
2011-04-18 18:53:34 status installed unzip 6.0-1build1
2011-04-25 18:20:52 startup archives unpack
2011-04-25 18:20:52 install libaudiofile0 <none> 0.2.6-8ubuntu1
2011-04-25 18:20:52 status half-installed libaudiofile0 0.2.6-8ubuntu1
2011-04-25 18:20:53 status unpacked libaudiofile0 0.2.6-8ubuntu1
2011-04-25 18:20:53 status unpacked libaudiofile0 0.2.6-8ubuntu1
2011-04-25 18:20:54 install esound-common <none> 0.2.41-6ubuntu1
